user_id,user_name,flagged,mean_proba,all,ratio,rank_flagged,rank_ratio,rank_proba,mean_rank,flagged_cum
22851713,Brontasiano,133,0.9562496,133,1,5,1,3,3,133
22846335,Arsenio Lupis,59,0.97196025,59,1,15,1,1,5.666666666666667,192
22814065,roppd301db,36,0.9693574,36,1,23,1,2,8.666666666666666,228
22874945,Patrolonia,140,0.8855736,145,0.9655172413793104,4,3,24,10.333333333333334,373
19350939,Клавдия Пляскина,30,0.93295854,30,1,27,1,10,12.666666666666666,403
22850308,yabbering,23,0.94798505,23,1,34,1,5,13.333333333333334,426
22889401,Julius Alcatraz,21,0.95292246,21,1,36,1,4,13.666666666666666,447
22848907,striped antelope,20,0.92064726,20,1,37,1,13,17,467
22848487,José Linazasoro,36,0.8767097,36,1,23,1,29,17.666666666666668,503
22813991,40xdvi8lpw,12,0.93574953,12,1,45,1,9,18.333333333333332,515
22850232,Juan de Castillo,6,0.93910545,6,1,51,1,8,20,521
21922837,Mredaktor,3,0.94299287,3,1,54,1,7,20.666666666666668,524
21657747,Ronak_FC,7,0.93001944,7,1,50,1,11,20.666666666666668,531
22776194,PolinaAnuckina,1,0.9447687,1,1,56,1,6,21,532
22698268,richmondsantillana,7,0.9249653,7,1,50,1,12,21,539
22889176,Juan Carlos Rovira,29,0.85022295,30,0.9666666666666667,28,2,35,21.666666666666668,569
22779497,Александр Эргешов,1,0.917409,1,1,56,1,14,23.666666666666668,570
22844759,Enrico Giustini,1,0.91640735,1,1,56,1,15,24,571
22867989,motherbgreen,1,0.9137831,1,1,56,1,16,24.333333333333332,572
22426820,Tonyfarms,6,0.89312583,6,1,51,1,22,24.666666666666668,578
22687968,Garimer,2,0.9107753,2,1,55,1,18,24.666666666666668,580
22848341,Muparroto,11,0.8794644,11,1,46,1,27,24.666666666666668,591
16834111,the13thsense,2,0.8954587,2,1,55,1,21,25.666666666666668,593
22283947,tesladummy,1,0.88679206,1,1,56,1,23,26.666666666666668,594
22839809,ahmedgoma2010,1,0.88080525,1,1,56,1,25,27.333333333333332,595
22846560,wopof,23,0.8393194,24,0.9583333333333334,34,4,45,27.666666666666668,619
22717818,mranderson2025,3,0.8793049,3,1,54,1,28,27.666666666666668,622
20895276,NikHasl1997,4,0.9133212,5,0.8,53,14,17,28,627
22851527,LucusProfunde,3,0.8602492,3,1,54,1,32,29,630
22828204,Kseniya KsKs,1,0.8683941,1,1,56,1,31,29.333333333333332,631
22851588,Practicas 2,3,0.8536196,3,1,54,1,34,29.666666666666668,634
22851630,ticho3,7,0.84432375,7,1,50,1,39,30,641
22705385,Yuoye,1,0.8571208,1,1,56,1,33,30,642
22319176,Albocacer,14,0.8354074,14,1,43,1,47,30.333333333333332,656
22844824,firm marlin,5,0.83714706,5,1,52,1,46,33,661
21979911,GobbledyGook5000,1,0.8407128,1,1,56,1,43,33.333333333333336,662
22855476,Expresus,1,0.8393356,1,1,56,1,44,33.666666666666664,663
22843343,Vashon17,5,0.8345149,5,1,52,1,49,34,668
12894397,alexal1,5,0.874395,7,0.7142857142857143,52,20,30,34,675
22774854,@@@1a,6,0.8312638,6,1,51,1,52,34.666666666666664,681
22814351,AitanaEC,1,0.8352202,1,1,56,1,48,35,682
21851843,Alina RU,1,0.8336714,1,1,56,1,50,35.666666666666664,683
22874972,Dave Levenson,1,0.8335603,1,1,56,1,51,36,684
22849259,togosvista,1,0.8269702,1,1,56,1,53,36.666666666666664,685
22888636,lele1107,1,0.82277215,1,1,56,1,54,37,686
22863803,Farmer57,1,0.822111,1,1,56,1,55,37.333333333333336,687
22780230,CHNSMC,1,0.8181273,1,1,56,1,56,37.666666666666664,688
22878598,MihanJhaveri,1,0.81730604,1,1,56,1,58,38.333333333333336,689
22839836,Lai Chi Chong,1,0.8148003,1,1,56,1,59,38.666666666666664,690
22858050,Antonia Single,14,0.8048283,16,0.875,43,9,65,39,706
22844912,cancelep,1,0.8092454,1,1,56,1,61,39.333333333333336,707
22463379,arashmqsd,1,0.8081414,1,1,56,1,63,40,708
